filename,width,height,class,ymin,xmin,ymax,xmax
abnormal_frame_00006.jpg,640,640,normal,424,109,510,191
abnormal_frame_00006.jpg,640,640,normal,373,169,461,243
abnormal_frame_00006.jpg,640,640,normal,303,327,344,443
abnormal_frame_00006.jpg,640,640,normal,418,350,552,400
abnormal_frame_00006.jpg,640,640,normal,445,415,561,534
abnormal_frame_00006.jpg,640,640,normal,394,388,431,499
abnormal_frame_00006.jpg,640,640,normal,322,487,386,572
abnormal_frame_00007.jpg,640,640,abnormal,325,492,386,596
abnormal_frame_00007.jpg,640,640,normal,418,348,482,421
abnormal_frame_00007.jpg,640,640,normal,440,16,510,220
abnormal_frame_00007.jpg,640,640,normal,407,120,462,257
abnormal_frame_00007.jpg,640,640,normal,330,198,401,279
abnormal_frame_00007.jpg,640,640,normal,436,581,507,639
abnormal_frame_00008.jpg,640,640,normal,429,0,473,219
abnormal_frame_00008.jpg,640,640,normal,389,77,437,237
abnormal_frame_00008.jpg,640,640,normal,400,382,469,472
abnormal_frame_00008.jpg,640,640,abnormal,327,468,359,553
abnormal_frame_00008.jpg,640,640,abnormal,343,514,401,596
abnormal_frame_00009.jpg,640,640,normal,421,0,487,172
abnormal_frame_00009.jpg,640,640,normal,374,177,426,367
abnormal_frame_00009.jpg,640,640,abnormal,333,459,366,559
abnormal_frame_00009.jpg,640,640,abnormal,360,493,395,562
abnormal_frame_00010.jpg,640,640,abnormal,328,435,378,563
abnormal_frame_00010.jpg,640,640,normal,414,47,458,274
abnormal_frame_00010.jpg,640,640,normal,387,259,445,431
abnormal_frame_00010.jpg,640,640,normal,321,284,374,361
abnormal_frame_00001.jpg,640,640,abnormal,326,456,373,551
abnormal_frame_00001.jpg,640,640,abnormal,378,436,417,571
abnormal_frame_00001.jpg,640,640,normal,344,184,401,239
abnormal_frame_00001.jpg,640,640,normal,479,0,541,39
abnormal_frame_00002.jpg,640,640,normal,439,14,502,78
abnormal_frame_00002.jpg,640,640,normal,441,111,502,212
abnormal_frame_00002.jpg,640,640,normal,389,158,441,277
abnormal_frame_00002.jpg,640,640,normal,403,302,434,396
abnormal_frame_00002.jpg,640,640,abnormal,362,481,404,574
abnormal_frame_00002.jpg,640,640,normal,409,430,466,499
abnormal_frame_00003.jpg,640,640,normal,411,91,474,228
abnormal_frame_00003.jpg,640,640,normal,469,117,533,189
abnormal_frame_00003.jpg,640,640,normal,410,255,450,370
abnormal_frame_00003.jpg,640,640,normal,402,384,445,461
abnormal_frame_00004.jpg,640,640,abnormal,369,470,438,626
abnormal_frame_00004.jpg,640,640,normal,420,361,467,477
abnormal_frame_00004.jpg,640,640,normal,434,40,505,246
abnormal_frame_00004.jpg,640,640,normal,331,205,383,293
abnormal_frame_00004.jpg,640,640,normal,405,197,431,363
abnormal_frame_00005.jpg,640,640,normal,338,25,463,226
abnormal_frame_00005.jpg,640,640,normal,445,69,532,290
abnormal_frame_00005.jpg,640,640,normal,431,366,495,402
abnormal_frame_00005.jpg,640,640,normal,453,415,498,469
abnormal_frame_00005.jpg,640,640,normal,401,386,440,493
abnormal_frame_00005.jpg,640,640,normal,285,383,361,476
abnormal_frame_00005.jpg,640,640,normal,314,470,370,591
abnormal_frame_00021.jpg,640,640,abnormal,272,488,313,582
abnormal_frame_00021.jpg,640,640,normal,231,485,280,567
abnormal_frame_00021.jpg,640,640,normal,309,369,351,469
abnormal_frame_00021.jpg,640,640,abnormal,291,457,346,547
abnormal_frame_00021.jpg,640,640,normal,363,177,415,304
abnormal_frame_00021.jpg,640,640,normal,305,119,350,177
abnormal_frame_00022.jpg,640,640,abnormal,248,459,299,592
abnormal_frame_00022.jpg,640,640,abnormal,281,428,325,550
abnormal_frame_00022.jpg,640,640,normal,294,112,342,291
abnormal_frame_00022.jpg,640,640,normal,324,216,375,331
abnormal_frame_00023.jpg,640,640,abnormal,213,440,307,574
abnormal_frame_00023.jpg,640,640,abnormal,346,521,389,577
abnormal_frame_00023.jpg,640,640,normal,313,481,355,536
abnormal_frame_00023.jpg,640,640,normal,277,147,346,321
abnormal_frame_00023.jpg,640,640,normal,251,285,303,441
abnormal_frame_00024.jpg,640,640,abnormal,173,412,281,606
abnormal_frame_00024.jpg,640,640,abnormal,259,429,310,584
abnormal_frame_00024.jpg,640,640,normal,275,60,343,189
abnormal_frame_00024.jpg,640,640,normal,262,173,323,287
abnormal_frame_00025.jpg,640,640,abnormal,182,452,228,590
abnormal_frame_00025.jpg,640,640,abnormal,213,269,281,344
abnormal_frame_00025.jpg,640,640,abnormal,248,434,318,582
abnormal_frame_00025.jpg,640,640,abnormal,189,351,272,445
abnormal_frame_00025.jpg,640,640,normal,298,273,372,357
abnormal_frame_00017.jpg,640,640,abnormal,343,470,376,558
abnormal_frame_00017.jpg,640,640,normal,299,487,375,611
abnormal_frame_00017.jpg,640,640,normal,456,425,538,572
abnormal_frame_00017.jpg,640,640,normal,323,98,376,261
abnormal_frame_00017.jpg,640,640,normal,399,383,454,492
abnormal_frame_00018.jpg,640,640,normal,308,108,370,255
abnormal_frame_00018.jpg,640,640,normal,338,280,376,349
abnormal_frame_00018.jpg,640,640,normal,275,371,325,491
abnormal_frame_00018.jpg,640,640,normal,282,493,362,569
abnormal_frame_00018.jpg,640,640,normal,459,497,526,640
abnormal_frame_00019.jpg,640,640,abnormal,257,501,343,600
abnormal_frame_00019.jpg,640,640,normal,263,380,310,527
abnormal_frame_00019.jpg,640,640,normal,317,326,361,450
abnormal_frame_00019.jpg,640,640,normal,320,255,375,325
abnormal_frame_00019.jpg,640,640,normal,307,111,371,255
abnormal_frame_00019.jpg,640,640,normal,355,533,405,633
abnormal_frame_00020.jpg,640,640,abnormal,320,434,358,560
abnormal_frame_00020.jpg,640,640,abnormal,294,470,322,558
